"filename", "language", "TypeScript", "TypeScript React", "SCSS", "JSON with Comments", "JSON", "Markdown", "JavaScript", "HTML", "YAML", "comment", "blank", "total"
"/Users/davidbester/Coding/recipes-app/OpenAPI.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 6, 456
"/Users/davidbester/Coding/recipes-app/README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"/Users/davidbester/Coding/recipes-app/client/README.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 21, 57
"/Users/davidbester/Coding/recipes-app/client/package-lock.json", "JSON", 0, 0, 0, 0, 28683, 0, 0, 0, 0, 0, 1, 28684
"/Users/davidbester/Coding/recipes-app/client/package.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"/Users/davidbester/Coding/recipes-app/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"/Users/davidbester/Coding/recipes-app/client/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/davidbester/Coding/recipes-app/client/src/AppRoutes.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"/Users/davidbester/Coding/recipes-app/client/src/components/Button/Button.scss", "SCSS", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 27, 167
"/Users/davidbester/Coding/recipes-app/client/src/components/Button/Button.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/davidbester/Coding/recipes-app/client/src/components/Icon/Icon.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/davidbester/Coding/recipes-app/client/src/components/Icon/Icon.tsx", "TypeScript React", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"/Users/davidbester/Coding/recipes-app/client/src/components/IconDropdownButton/IconDropdownButton.scss", "SCSS", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 12, 70
"/Users/davidbester/Coding/recipes-app/client/src/components/IconDropdownButton/IconDropdownButton.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/davidbester/Coding/recipes-app/client/src/components/Inputs/Input.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/davidbester/Coding/recipes-app/client/src/components/Inputs/Inputs.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/davidbester/Coding/recipes-app/client/src/components/Modals/AuthenticationModals.scss", "SCSS", 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 10, 57
"/Users/davidbester/Coding/recipes-app/client/src/components/Modals/LoginModal.tsx", "TypeScript React", 0, 120, 0, 0, 0, 0, 0, 0, 0, 2, 12, 134
"/Users/davidbester/Coding/recipes-app/client/src/components/Modals/RegisterModal.tsx", "TypeScript React", 0, 164, 0, 0, 0, 0, 0, 0, 0, 3, 13, 180
"/Users/davidbester/Coding/recipes-app/client/src/components/NavbarItem/NavbarItem.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/davidbester/Coding/recipes-app/client/src/components/NavbarItem/NavbarItem.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/davidbester/Coding/recipes-app/client/src/components/NavigationBar/NavigationBar.scss", "SCSS", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 11, 88
"/Users/davidbester/Coding/recipes-app/client/src/components/NavigationBar/NavigationBar.tsx", "TypeScript React", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 4, 97
"/Users/davidbester/Coding/recipes-app/client/src/components/ProfileImage/ProfileImage.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/davidbester/Coding/recipes-app/client/src/components/ProfileImage/ProfileImage.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/davidbester/Coding/recipes-app/client/src/components/RecipeCard/RecipeCard.scss", "SCSS", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 10, 128
"/Users/davidbester/Coding/recipes-app/client/src/components/RecipeCard/RecipeCard.tsx", "TypeScript React", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
"/Users/davidbester/Coding/recipes-app/client/src/components/RecipesList/RecipesList.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/davidbester/Coding/recipes-app/client/src/components/RecipesList/RecipesList.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/davidbester/Coding/recipes-app/client/src/components/Snackbar/Snackbar.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"/Users/davidbester/Coding/recipes-app/client/src/components/Snackbar/Snackbar.tsx", "TypeScript React", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/davidbester/Coding/recipes-app/client/src/components/Spinner/Spinner.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/davidbester/Coding/recipes-app/client/src/components/Spinner/Spinner.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/davidbester/Coding/recipes-app/client/src/components/TabSection/TabSection.scss", "SCSS", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/davidbester/Coding/recipes-app/client/src/components/TabSection/TabSection.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/davidbester/Coding/recipes-app/client/src/components/index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/davidbester/Coding/recipes-app/client/src/features/authSlice/authSlice.ts", "TypeScript", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 212
"/Users/davidbester/Coding/recipes-app/client/src/features/index.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/davidbester/Coding/recipes-app/client/src/features/modalsSlice/modalsSlice.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/davidbester/Coding/recipes-app/client/src/features/profile/getProfileSlice.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"/Users/davidbester/Coding/recipes-app/client/src/features/recipes/getOneRecipeSlice.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"/Users/davidbester/Coding/recipes-app/client/src/features/recipes/getRecipesSlice.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/Users/davidbester/Coding/recipes-app/client/src/features/recipes/getSavedRecipes.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"/Users/davidbester/Coding/recipes-app/client/src/features/recipes/getUploadedRecipes.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"/Users/davidbester/Coding/recipes-app/client/src/features/snackbarSlice/snackbarSlice.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/davidbester/Coding/recipes-app/client/src/hoc/ModalWrapper/ModalWrapper.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/davidbester/Coding/recipes-app/client/src/hoc/ModalWrapper/ModalWrapper.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/davidbester/Coding/recipes-app/client/src/hoc/ScreenWrapper/ScreenWrapper.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/davidbester/Coding/recipes-app/client/src/hoc/ScreenWrapper/ScreenWrapper.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/davidbester/Coding/recipes-app/client/src/hoc/WithSpinner/WithSpinner.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/davidbester/Coding/recipes-app/client/src/hoc/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/davidbester/Coding/recipes-app/client/src/hooks/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/davidbester/Coding/recipes-app/client/src/hooks/redux/reduxHooks.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/davidbester/Coding/recipes-app/client/src/hooks/useClickOutside/useClickOutside.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/davidbester/Coding/recipes-app/client/src/i18n/config.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/davidbester/Coding/recipes-app/client/src/i18n/locales/en.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/davidbester/Coding/recipes-app/client/src/i18n/locales/si.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/davidbester/Coding/recipes-app/client/src/index.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/davidbester/Coding/recipes-app/client/src/index.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 3, 27
"/Users/davidbester/Coding/recipes-app/client/src/models/Error/Error.model.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/davidbester/Coding/recipes-app/client/src/models/Profile/MyProfile.model.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/davidbester/Coding/recipes-app/client/src/models/Profile/Profile.model.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/davidbester/Coding/recipes-app/client/src/models/Recipe/Recipe.model.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/davidbester/Coding/recipes-app/client/src/models/Recipe/RecipeListItem.model.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/davidbester/Coding/recipes-app/client/src/models/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/davidbester/Coding/recipes-app/client/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/davidbester/Coding/recipes-app/client/src/sass/_fonts.scss", "SCSS", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 14, 98
"/Users/davidbester/Coding/recipes-app/client/src/sass/_functions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/davidbester/Coding/recipes-app/client/src/sass/_variables.scss", "SCSS", 0, 0, 49, 0, 0, 0, 0, 0, 0, 6, 6, 61
"/Users/davidbester/Coding/recipes-app/client/src/screens/About/About.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/davidbester/Coding/recipes-app/client/src/screens/About/About.tsx", "TypeScript React", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/davidbester/Coding/recipes-app/client/src/screens/Cookbooks/Cookbooks.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/davidbester/Coding/recipes-app/client/src/screens/Discover/Discover.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/davidbester/Coding/recipes-app/client/src/screens/Discover/Discover.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/davidbester/Coding/recipes-app/client/src/screens/Logout/Logout.tsx", "TypeScript React", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/davidbester/Coding/recipes-app/client/src/screens/Profile/Profile.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/Users/davidbester/Coding/recipes-app/client/src/screens/Profile/Profile.tsx", "TypeScript React", 0, 131, 0, 0, 0, 0, 0, 0, 0, 3, 11, 145
"/Users/davidbester/Coding/recipes-app/client/src/screens/Recipe/Recipe.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"/Users/davidbester/Coding/recipes-app/client/src/screens/Recipe/Recipe.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/davidbester/Coding/recipes-app/client/src/screens/Saved/Saved.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/davidbester/Coding/recipes-app/client/src/screens/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/davidbester/Coding/recipes-app/client/src/serviceWorker.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 31, 14, 147
"/Users/davidbester/Coding/recipes-app/client/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/davidbester/Coding/recipes-app/client/src/store/store.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/davidbester/Coding/recipes-app/client/src/utils/getInitials/getInitials.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/davidbester/Coding/recipes-app/client/src/utils/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/davidbester/Coding/recipes-app/client/src/utils/validation/validation.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/davidbester/Coding/recipes-app/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/davidbester/Coding/recipes-app/data/generateUsers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"/Users/davidbester/Coding/recipes-app/data/generated/gen_recipes.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/davidbester/Coding/recipes-app/data/generated/gen_users.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/davidbester/Coding/recipes-app/data/generated/users.json", "JSON", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 166
"/Users/davidbester/Coding/recipes-app/data/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"/Users/davidbester/Coding/recipes-app/data/mocks/recipes_from_api.json", "JSON", 0, 0, 0, 0, 48498, 0, 0, 0, 0, 0, 1, 48499
"/Users/davidbester/Coding/recipes-app/data/mocks/users_data.json", "JSON", 0, 0, 0, 0, 553, 0, 0, 0, 0, 0, 1, 554
"/Users/davidbester/Coding/recipes-app/data/package-lock.json", "JSON", 0, 0, 0, 0, 1021, 0, 0, 0, 0, 0, 1, 1022
"/Users/davidbester/Coding/recipes-app/data/package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/davidbester/Coding/recipes-app/server/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 6, 31
"/Users/davidbester/Coding/recipes-app/server/middleware/authorize.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"/Users/davidbester/Coding/recipes-app/server/middleware/validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"/Users/davidbester/Coding/recipes-app/server/models/Recipe.model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 53
"/Users/davidbester/Coding/recipes-app/server/models/User.model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/davidbester/Coding/recipes-app/server/package-lock.json", "JSON", 0, 0, 0, 0, 5622, 0, 0, 0, 0, 0, 1, 5623
"/Users/davidbester/Coding/recipes-app/server/package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/davidbester/Coding/recipes-app/server/routes/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 1, 22, 111
"/Users/davidbester/Coding/recipes-app/server/routes/profile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 19, 139
"/Users/davidbester/Coding/recipes-app/server/routes/recipes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 10, 59
"/Users/davidbester/Coding/recipes-app/server/util/jwtGenerator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"Total", "-", 868, 1106, 858, 21, 84682, 39, 480, 20, 450, 89, 528, 89141